"gender","age","distance","traveltime","transport","rice","potatoes","pasta","bread","cereals","coffee","sports"
"male",24,5,10,"bike",0,7,7,7,7,1,6
"male",36,3,5,"public",1,4,2,7,5,0,4
"male",31,60,50,"public",1,4,3,6,2,4,0
"male",30,2,20,"foot",1,3,4,7,4,1,2
"male",24,2,5,"bike",1,2,2,7,0,7,0
"male",22,1,5,"foot",1,2,2,7,3,0,1
"female",25,3.5,50,"foot",1,2,3,7,7,1,1
"female",23,60,60,"public",1,7,1,7,1,2,3
"female",22,2,5,"foot",1,3,2,7,5,1,6
"female",22,6,18,"foot",1,4,2,7,1,1,3
"male",37,1,15,"bike",2,2,0,5,4,1,3
"male",33,3,25,"public",2,4,2,7,2,2,0
"male",32,4,15,"public",2,5,4,7,1,0,0
"male",32,2.5,15,"foot",2,1,0,1,1,2,0
"male",31,15,45,"public",2,1,0,7,7,7,2
"male",28,2,25,"foot",2,4,2,7,5,3,1
"male",26,6,25,"foot",2,3,5,6,1,5,0
"male",26,4,15,"foot",2,2,5,7,3,7,2
"male",25,3,15,"public",2,1,3,6,1,3,0
"female",23,5,15,"foot",2,0,3,7,1,0,1
"male",29,2,7,"foot",3,2,3,4,4,0.5,10
"male",27,2,20,"bike",3,2,1,4,5,2,4
"male",26,2.5,45,"public",3,2,0,1,1,1,1
"female",26,2,30,"public",3,2,0,7,0,0,0
"female",26,6,20,"public",3,1,1,5,3,2,2
"female",23,0.5,10,"foot",3,3,4,6,5,2,2
"male",31,10,30,"public",4,3,2,5,7,7,0
"male",30,2,25,"foot",4,2,0,1,0,6,1
"female",27,2,17,"public",4,1,2,1,3,0,0
"female",24,40,20,"public",4,2,2,3,7,0,0
"male",30,5,15,"foot",5,3,3,7,2,7,6
"female",34,150,45,"public",5,2,1,2,0,4,0
"female",30,2.5,30,"public",5,1,2,7,4,0,7
"female",26,15,30,"public",5,2,2,7,3,2,2
"male",31,3,25,"public",6,3,2,5,1,1,1
"male",24.5,1,7,"bike",6,5,1,6,1,1,7
"female",35,12,30,"foot",6,4,1,3,2,0,0
"female",30,3,10,"public",6,4,2,5,5,5,1
"male",30,2,20,"public",7,4,2,5,5,2,1
"male",28,5,6,"public",7,4,4,7,5,0,2
"male",28,2,5,"foot",7,5,0,6,0,0,5
"male",25,3,5,"bike",7,7,0,7,0,0,0
"male",25,3,5,"bike",7,5,1,7,1,0,3
"male",24,1,5,"foot",7,5,1,4,6,3,2
"male",22,0.75,10,"foot",7,2,0,7,0,0,2.5
"female",31,2,20,"bike",7,4,0,7,0,0.3,0
"female",29,3,10,"foot",7,2,0,3,0,0,0
"female",28,3,30,"foot",7,1,1,2,3,0,0
"female",27,5,30,"foot",7,3,1,5,2,0,0
"female",26,80,90,"public",7,3,0,2,2,0,2
